"uri","label","category","main_tags","event_tags","architecture_tags"
"15/005e849b-8b9f-3815-98ac-168d6776057a","Cellier du Beaujardin","tasting","Cooperative;PlaceOfInterest;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/0064ecb3-df79-345c-aae3-231b255e1b5b","Château-monastère de la Corroirie","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/007a5eff-1ed7-3f1e-aaac-cea9d95e3ff1","La Restrie du Bas","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/008a42af-78b6-3946-b72c-be46b2f8203c","Le tulipier de virginie","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/00b4daec-db5b-3d56-8736-23b2522bf80e","La Longère aux Hortensias","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/00b6f8df-01e1-39f7-86fb-84b6c9fa21e8","L'Ange est Rêveur","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/00bf4198-cbbd-38cb-a2d8-c78c4eda1f8d","Gîte chanzy","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/00e62f7d-0eb4-3ce3-a7ba-5e0b666c0dae","La Rose des Vents","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/00e8d121-18ba-339b-946f-09896707b893","Les Passerelles","museum","CulturalSite;Museum;PlaceOfInterest;TechnicalHeritage","",""
"15/01300e3a-9ed0-3102-955f-887d13a13c91","Aire de services municipale","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/01db1d61-653d-3856-9e11-e4425ba246f8","L'Harteloire","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/01f0578a-c89d-3bb3-9b58-7754ebba529b","Gîte de la mahaudière","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/02568217-acea-3d5e-9fa7-45c07aeaafb8","Domaine de la Trigalière - La Maison des Amis","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/0271dda8-03f9-31af-a3ed-ea79a637f0a5","André Fouassier","tasting","PlaceOfInterest;Producer;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/02b9576f-0f55-3354-a3f2-01d71208c540","Le Colombien","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/02c74295-ac0f-3270-9349-954ab40ecf6d","Aire d'accueil et de services ""La Guignardière""","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/02feda28-2798-3e1a-b3eb-bd183c1a35b8","Visite commentée de la ville de Montoire","church","ArcheologicalSite;Bridge;Chapel;Church;CityHeritage;Convent;CulturalSite;PlaceOfInterest;ReligiousSite;RemarkableBuilding;Ruins;TechnicalHeritage","",""
"15/0375fb27-b1c7-3fe5-b57e-ae3040b148fa","Château de la Roche Berthault - La Maison du Jardinier","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/03e10011-1d3b-35ec-bece-ccf16e907c5c","L'Heureux Hasard","camping","Accommodation;Camping;CampingAndCaravanning;PlaceOfInterest","",""
"15/0411f013-4769-3e7f-92e7-d8df648a75c4","La Cordonnerie","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/04497a49-3de4-381d-b657-fa9095fdc375","La Blinerie","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/0455bc4e-ea31-3321-8bbb-a4899e6aea92","Le Bois Logis","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/04d584e4-7ea6-3bd9-831b-654738d76674","Aire de stationnement pour camping-cars - Montlivault","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/04d8318f-275b-3474-a635-53eee3aa4a0d","Eglise Saint-Hilaire et Musée d'Art Sacré","church","Church;CulturalSite;Museum;PlaceOfInterest;ReligiousSite","",""
